query_id,query,recipe_id,name,rank,score,source,v1_overlap,llm_judgment,llm_confidence,llm_reason,needs_review
Q1,얼큰한 국물 요리,324,된장시금치옹심이,3,0.027313,v3_hybrid,False,0,1.0,"카테고리는 국&찌개로 충족하지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",False
Q1,얼큰한 국물 요리,423,해물들깨탕,4,0.025992,v3_hybrid,False,1,1.0,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 홍고추와 청고추가 포함되어 있어 모든 조건을 충족했다.",False
Q1,얼큰한 국물 요리,750,콩비지완자탕,5,0.02425,v3_hybrid,False,0,1.0,매운맛 재료가 포함되어 있지 않아 조건을 불충족했다.,False
Q1,얼큰한 국물 요리,327,삼색소면,6,0.023994,v3_hybrid,False,0,1.0,"카테고리가 일품으로 국&찌개가 아니며, 매운맛 재료가 포함되어 있지 않아 조건을 충족하지 않는다.",False
Q1,얼큰한 국물 요리,37,된장국,7,0.023796,v3_hybrid,False,0,1.0,"카테고리는 국&찌개로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",False
Q1,얼큰한 국물 요리,408,맑은육개장,8,0.022759,v3_hybrid,False,1,1.0,"카테고리가 국&찌개이고, 조리방식이 끓이기이며, 매운맛 재료로 청양고추가 포함되어 있어 모든 조건을 충족했다.",False
Q1,얼큰한 국물 요리,967,사과와 양파를 곁들인 돼지등심 요리,10,0.016393,v3_hybrid,False,0,1.0,"카테고리가 국&찌개가 아니며, 조리방식이 끓이기가 아니고, 매운맛 재료가 포함되어 있지 않아 모든 조건을 불충족했다.",False
Q3,아이 간식,18,버섯 두유 소스 볶음,1,0.016393,v3_hybrid,False,0,1.0,"카테고리가 후식, 빵, 떡, 음료가 아니며, 청양고추가 포함되어 있어 자극 재료가 포함된 간식으로 적합하지 않다.",False
Q3,아이 간식,19,백일송이버섯 볶음,3,0.016129,v3_hybrid,False,0,1.0,"카테고리가 후식, 빵, 떡, 음료가 아니며, 초등 저학년 남아가 먹기 적합한 간식으로 분류될 수 없다.",False
Q3,아이 간식,21,땅콩소스 버섯가지나물,5,0.015873,v3_hybrid,False,0,1.0,"카테고리가 후식, 빵, 떡, 음료가 아니며, 초등 저학년 남아가 먹기 적합한 간식으로 분류될 수 없다.",False
Q3,아이 간식,28,새우 두부 계란찜,7,0.015625,v3_hybrid,False,0,1.0,"카테고리가 후식, 빵, 떡, 음료가 아니며, 초등 저학년 남아가 먹기 적합한 간식으로 분류될 수 없다.",False
Q3,아이 간식,29,부추 콩가루 찜,9,0.015385,v3_hybrid,False,0,1.0,"카테고리가 후식, 빵, 떡, 음료가 아니며, 자극 재료인 고춧가루가 포함되어 있어 조건을 불충족했다.",False
Q4,매운 반찬,692,양배추두부찜과 양파케첩소스,1,0.029828,v3_hybrid,False,0,1.0,"카테고리는 반찬으로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",False
Q4,매운 반찬,583,호박잎삼계,4,0.023175,v3_hybrid,False,0,1.0,"카테고리는 반찬이지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",False
Q4,매운 반찬,879,꽃게강정,5,0.016393,v3_hybrid,False,1,1.0,"카테고리가 반찬으로 명시되어 있고, 매운맛 재료인 고춧가루가 포함되어 있어 모든 조건을 충족했다.",False
Q4,매운 반찬,831,곤약 콩조림,8,0.015873,v3_hybrid,False,0,1.0,"카테고리는 반찬으로 충족되지만, 매운맛 재료가 포함되어 있지 않아 불충족이다.",False
Q4,매운 반찬,799,채소 커리를 곁들인 팬케익,9,0.015625,v3_hybrid,False,0,1.0,매운맛 재료가 포함되어 있지 않아 매운 반찬 조건을 충족하지 못했다.,False
Q2,다이어트 샐러드,74,돌나물 샐러드,1,0.029572,v3_hybrid,False,0,1.0,"형태가 '샐러드'로 명시되어 있으나, 드레싱의 주재료로 마요네즈가 포함되어 있어 relevant 조건을 충족하지 못했다.",False
Q2,다이어트 샐러드,1021,스테이크 샐러드,4,0.028382,v3_hybrid,False,0,1.0,"형태가 '샐러드'로 명시되어 있으나, 카테고리가 '반찬'이고 조리방식이 '굽기'로 되어 있어 샐러드 형태의 요리가 아닙니다.",False
Q2,다이어트 샐러드,641,훈제오리가슴살 샐러드,6,0.027885,v3_hybrid,False,0,1.0,"형태가 '샐러드'로 명시되어 있으나, 카테고리가 '반찬'으로 되어 있어 형태와 카테고리 간의 불일치로 인해 relevant 조건을 충족하지 못했다.",False
Q2,다이어트 샐러드,934,과일 요구르트 샐러드,7,0.02781,v3_hybrid,False,0,1.0,"형태가 '샐러드'로 명시되어 있으나, 카테고리가 '반찬'으로 되어 있어 형태와 일치하지 않으며, 칼로리는 350 kcal 이하로 충족하지만 드레싱에 대한 정보가 없어서 불명확하다.",False
Q5,고단백 요리,861,케이준 스타일 닭고기 요리,2,0.029387,v3_hybrid,False,1,1.0,단백질 값이 20g 이상으로 정량 조건을 충족했다.,False
Q5,고단백 요리,967,사과와 양파를 곁들인 돼지등심 요리,4,0.016393,v3_hybrid,False,0,1.0,"단백질 함량이 20g 이상이 아니며, 주재료가 고단백 식재료인 육류(돼지등심)로 간주되지만 protein 값이 18g으로 정량 조건을 충족하지 못해 not relevant.",False
Q5,고단백 요리,817,비트와 호두 요리,5,0.016129,v3_hybrid,False,0,1.0,"단백질이 1인분 3g으로 정량 조건을 충족하지 않으며, 주재료인 비트와 호두가 고단백 식재료가 아니므로 relevant 조건을 모두 불충족했다.",False
Q5,고단백 요리,18,버섯 두유 소스 볶음,9,0.015385,v3_hybrid,False,0,1.0,"단백질이 9g으로 정량 조건을 충족하지 않으며, 주재료가 고단백 식재료인 육류, 생선, 두부, 계란, 콩류에 해당하지 않아 정성 조건도 충족하지 않는다.",False
